epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,45305,1.83701,1.641,1.38547,0.64834,0.48837,0.54635,0.24699,1.89468,1.69827,1.48133,0.004159,0.004159,0.004159
61,46036.2,1.83039,1.60722,1.37977,0.60279,0.44556,0.46922,0.20912,1.94892,1.93032,1.50284,0.00406,0.00406,0.00406
62,46805.6,1.80314,1.58313,1.37973,0.70668,0.47625,0.54747,0.23969,1.89359,1.71525,1.48329,0.003961,0.003961,0.003961
63,47510.4,1.81569,1.59766,1.38094,0.68334,0.40776,0.49305,0.22124,1.93149,1.84056,1.50394,0.003862,0.003862,0.003862
64,48219.5,1.81353,1.53118,1.3722,0.55578,0.34593,0.40349,0.1779,2.04247,2.08659,1.56756,0.003763,0.003763,0.003763
65,48909.7,1.80947,1.6047,1.36473,0.58874,0.34593,0.41224,0.18312,2.03292,2.01264,1.56322,0.003664,0.003664,0.003664
66,49588.6,1.80861,1.59399,1.38157,0.58598,0.45258,0.47029,0.19584,1.97355,1.90954,1.5124,0.003565,0.003565,0.003565
67,50266.3,1.81243,1.54069,1.36743,0.64145,0.43895,0.48208,0.20491,2.01198,1.7929,1.547,0.003466,0.003466,0.003466
68,50943.9,1.80751,1.54335,1.37013,0.71047,0.43513,0.53665,0.24402,1.94395,1.70984,1.51985,0.003367,0.003367,0.003367
69,51618.8,1.80951,1.59049,1.36831,0.60597,0.48837,0.53202,0.23733,1.89176,1.74401,1.48339,0.003268,0.003268,0.003268
70,52293,1.77928,1.56226,1.36154,0.70142,0.50535,0.54996,0.24823,1.89159,1.68422,1.4863,0.003169,0.003169,0.003169
71,52968.3,1.80218,1.51591,1.36176,0.65595,0.48256,0.53761,0.23433,1.97735,1.68478,1.52515,0.00307,0.00307,0.00307
72,53640.6,1.77353,1.51164,1.36306,0.68661,0.50581,0.55574,0.25345,1.93102,1.64922,1.50398,0.002971,0.002971,0.002971
73,54314,1.78444,1.49016,1.35442,0.6674,0.48547,0.54885,0.24195,1.90404,1.67711,1.49335,0.002872,0.002872,0.002872
74,54991.6,1.76775,1.49622,1.35957,0.67827,0.49419,0.56141,0.24417,1.93689,1.66639,1.50302,0.002773,0.002773,0.002773
75,55667.4,1.75206,1.48896,1.34037,0.67233,0.38175,0.46121,0.20777,1.97846,1.94016,1.53882,0.002674,0.002674,0.002674
76,56341.2,1.77207,1.49962,1.36768,0.70168,0.49231,0.53805,0.24509,1.93883,1.68768,1.49723,0.002575,0.002575,0.002575
77,57012.9,1.76786,1.47826,1.34961,0.62497,0.45053,0.50463,0.22068,1.97155,1.80864,1.50899,0.002476,0.002476,0.002476
78,57689.5,1.77067,1.4842,1.36449,0.68953,0.49066,0.55518,0.24157,1.94166,1.62088,1.51673,0.002377,0.002377,0.002377
79,58372.1,1.73271,1.46924,1.32263,0.58792,0.43314,0.48669,0.21252,1.97334,1.77894,1.52445,0.002278,0.002278,0.002278
80,59047.1,1.79052,1.47464,1.35961,0.68052,0.51453,0.58601,0.26012,1.93596,1.61034,1.50908,0.002179,0.002179,0.002179
81,59721.8,1.74909,1.44271,1.34325,0.68506,0.44477,0.51922,0.22935,1.95044,1.70684,1.52796,0.00208,0.00208,0.00208
82,60397.4,1.7409,1.47489,1.34139,0.61246,0.52035,0.56485,0.2514,1.87753,1.69687,1.45928,0.001981,0.001981,0.001981
83,61068.5,1.7239,1.42733,1.32513,0.68531,0.52545,0.56955,0.24881,1.93153,1.6762,1.49629,0.001882,0.001882,0.001882
84,61744.7,1.72197,1.4304,1.33373,0.66092,0.53828,0.55569,0.24365,1.95472,1.65259,1.51922,0.001783,0.001783,0.001783
85,62422.2,1.71432,1.43875,1.32879,0.72569,0.47674,0.54842,0.24837,1.94127,1.63087,1.50694,0.001684,0.001684,0.001684
86,63097.2,1.72503,1.39048,1.33259,0.6905,0.48642,0.54813,0.25258,1.92876,1.73288,1.49266,0.001585,0.001585,0.001585
87,63768.3,1.71525,1.37787,1.31549,0.65983,0.44545,0.52572,0.23747,1.94058,1.71008,1.52273,0.001486,0.001486,0.001486
88,64441.8,1.68738,1.34658,1.30959,0.63252,0.47384,0.52792,0.23067,1.98771,1.77504,1.52903,0.001387,0.001387,0.001387
89,65118.3,1.7203,1.38211,1.31693,0.63623,0.49419,0.54433,0.25183,1.92709,1.68735,1.50876,0.001288,0.001288,0.001288
90,65800.3,1.70599,1.38847,1.31706,0.71615,0.49873,0.56304,0.24537,1.95893,1.63513,1.51893,0.001189,0.001189,0.001189
91,66489.8,1.69525,1.42352,1.39213,0.67939,0.5236,0.56497,0.2429,1.92981,1.63209,1.49826,0.00109,0.00109,0.00109
92,67171.2,1.63573,1.32836,1.3544,0.6968,0.53198,0.56715,0.25544,1.89492,1.65548,1.47461,0.000991,0.000991,0.000991
93,67853.4,1.63,1.32162,1.35185,0.72778,0.53626,0.58478,0.26157,1.89227,1.59014,1.47462,0.000892,0.000892,0.000892
94,68537.9,1.62448,1.29936,1.34532,0.71815,0.50291,0.56537,0.25076,1.92702,1.59313,1.50336,0.000793,0.000793,0.000793
95,69214.1,1.6394,1.27164,1.35705,0.7119,0.53488,0.57877,0.25852,1.91916,1.59973,1.49634,0.000694,0.000694,0.000694
96,69891.3,1.63563,1.29265,1.37452,0.72108,0.52616,0.5773,0.2556,1.90894,1.5823,1.49132,0.000595,0.000595,0.000595
97,70569.9,1.63352,1.26799,1.35146,0.69586,0.5407,0.57896,0.2537,1.89882,1.61969,1.48257,0.000496,0.000496,0.000496
98,71235.4,1.61802,1.26232,1.35744,0.69426,0.54942,0.57974,0.25485,1.91302,1.62587,1.49383,0.000397,0.000397,0.000397
99,71900,1.63927,1.27854,1.36945,0.75687,0.51744,0.59668,0.26018,1.90873,1.59333,1.48938,0.000298,0.000298,0.000298
100,72548.9,1.62359,1.26406,1.3639,0.70351,0.53488,0.58091,0.25637,1.91442,1.58177,1.49822,0.000199,0.000199,0.000199
